NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROGRAM_COHORT_RECORD_TYPE__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,PROGRAM_COHORT__C,ID
Safe Agua Colombia Development Seminar,49500,Safe Agua Colombia Development Seminar,Art Center College of Design,24750,10/30/13,11/7/13,8/31/15,3/1/14,Sustainable Vision,"Worldwide, 768 million people lack access to clean water. One country with such challenges is Colombia. Art Center College of Designs Safe Agua Colombia program works with families living in Colombias impoverished communities to design and develop solutions  products, systems, and services  around water, to help overcome the cycle of poverty. Working in partnership with regional NGOs, Compartamos Con Colombia and Socialab, the program aims to:

(1) Co-create, with end users, radically affordable products and systems with sustainable, scalable, real-world implementation;
(2) Address specific problems, with both quantitative benefits (illness reduction, water conservation, opportunities to generate income, etc.) and qualitative impacts (sense of dignity, quality of life)

Safe Agua Colombia is a sequel to successful prior Safe Agua efforts in Chile and Peru. But it includes two major programmatic advancements that elevate the work to a new level:

--The course will devise new systems as well as new products. Regional partners in Colombia are well situated to advise on developing and implementing systemic solutions.

--The course will serve as a feeder into the newly established Innovation Accelerator program (aka The Design Accelerator), an interdisciplinary incubator that is an exciting collaboration between Art Center College of Design, California Institute of Technology, Idealab, and the Pasadena Angels Investment Group. Student teams from Safe Agua Colombia will have a chance to compete for a slot in the Accelerator, which provides intensive entrepreneurship mentoring and an opportunity to pitch startup ideas to investors.",1011077,Funded,11077-13,a2C39000002zYt4EAE,0017000001LSVqsAAH
Applied Innovation for Global Development Course,45995,Applied Innovation for Global Development Course,Georgetown University,35700,11/2/13,11/8/13,8/31/18,3/1/14,Sustainable Vision,"The Applied Innovation for Global Development course will deliver experiential learning, foster E-teams, and incubate innovation and new technology development and commercialization in Africa.  
In partnership with African university students, technologists, innovation centers and NGOs, Georgetown students will develop and launch innovation solutions in health, water, nutrition, energy and agriculture.  
--The two module course will offer an Innovation Lab and a Applied  Innovation Clinic to 50 graduate students over the grant period.  
--It will be established as an ongoing central part of Georgetown University's innovation curriculum and activity.   
--Up to 6 E-teams will develop and deliver innovations with at least one commercial launch.",1011093,Funded,11093-13,a2C39000002zYt4EAE,0017000001LSWzVAAX
Developing Undergraduate-Originated Global Health Technology,50000,Developing Undergraduate-Originated Global Health Technology,Johns Hopkins University,37000,11/8/13,11/12/13,8/31/17,3/1/14,Sustainable Vision,"As part of the Center of Bioengineering Innovation and Design, we propose to implement a new global health initiative within the existing undergraduate design team program.  A principal goal of this program is to further educate biomedical engineering students about and aspects of global health technology such as conditions on the ground, developing world (DW) standard of care, and barriers to implementing global health (GH) technology. The other principal goal is to develop and implement technology for the developing world using infrastructure in place to develop prototypes and place into clinical use.  Specifically, we plan to increase our didactic curriculum about the DW from public health faculty and from our existing partners in the Birth Alliance  (between JHU CBID, JHPIEGO and Laerdal Global Health. In addition, we plan to formalize educational mechanisms to increase the probability of success of furthering CBID and student-developed technology to be deployed on a mass scale.  This grant specifically seeks pilot funding to formalize our undergraduate GH program; to fund development and travel costs for GH undergraduate projects, with the goal to use overseas observations to further validate projects, and to grasp user feedback to improve project outcome.    We also seek to fund student summer stipends to continue projects developed beyond the academic year, and to document health-care conditions abroad.  This documentation is to be shared with other universities to make it easier for future students around the country to work on GH projects.",1011186,Funded,11186-13,a2C39000002zYt4EAE,0017000001LSVtWAAX
Expanding the Educational Outcomes of EWB Humanitarian Projects with Innovative Entrepreneurship,29982,Expanding the Educational Outcomes of EWB Humanitarian Projects with Innovative Entrepreneurship,California Polytechnic State University-San Luis Obispo,10000,11/11/13,11/11/13,12/31/16,3/1/14,Sustainable Vision,"The College of Engineering at the California Polytechnic (Cal Poly) State University, San Luis Obispo, proposes a Sustainable Vision grant to extend our educational programs to focus on people living in poverty through innovative technologies and entrepreneurship.  Through a proposed course sequence, the currently separate clubs of Engineers Without Borders (EWB) and Cal Poly Entrepreneurship (CPE) Club will be brought together for synergistic and transdisciplinary enterprises.  This proposal would enable the integrated course series and formation of E-teams across the different majors and colleges on campus.  Structured educational outcomes and the infusion of entrepreneurial designs would result.  Establishing such a framework within the university would beget numerous dividends, as well as implementing more effective and timely solutions for the EWB communities in need.",1011205,Funded,11205-13,a2C39000002zYt4EAE,0017000001LSVoGAAX
Renewable Energy & Livelihood Development for Emerging Markets,42567,Renewable Energy & Livelihood Development for Emerging Markets,Santa Clara University,NA,10/17/13,11/6/13,NA,NA,Sustainable Vision,"A formalized course module will be developed and integrated into several existing renewable energy, technology, and entrepreneurship courses within the School of Engineering and Leavey School of Business at Santa Clara University.  Students will learn how to develop energy-related products for emerging market contexts and take them to the field for testing and deployment. The module will compliment existing technical engineering content being taught (mechanical, civil, computer, electrical, and bioengineering disciplines), as well as entrepreneurship curriculum being taught in both engineering and business classes. In collaboration with a social entrepreneur, Susan Kinne, a director of Grupo Fenix, students will deploy a developed product into rural communities in Nicaragua.  An entrepreneurial focus will be present in many capacities: the development of the instructional module, design of the innovation, and implementation of the resulting prototype. 
As an initial launching project stemming from the module, an innovation project is also proposed.  Student team(s) will devise a prototype based on an absorption refrigerator and thermoelectric modules that utilize the wasted heat of a cook stove to generate electricity and power the refrigerator.  The innovation will be developed in such a way as to allow for easy deployment and easy installation in any conventional cook stove.  This specific product will provide a tangible opportunity for students to create an innovation for emerging market contexts. 
",1011030,Invite Resubmit,11030-13,a2C39000002zYt4EAE,0017000001LSW9fAAH
Developing World Low Cost Prostheses,49990,Developing World Low Cost Prostheses,Washington State University,NA,10/30/13,11/7/13,NA,NA,Sustainable Vision,"The School of Mechanical and Materials Engineerings Industrial Design Clinic (IDC) and the Harold Frank Entrepreneurship Program at Washington State University are proposing to pair with the Prosthetics Outreach Foundation (POF), located in Seattle, WA, to develop a continuing program for design and construction of prostheses for the developing country environments already served by POF.  This grant builds on the already successful collaboration between the IDC and POF for design and developed in-country manufacturing for prosthetic feet and ankles that was initiated in January 2013.

E-teams in the IDC and the Harold Frank Program will engage in a multidisciplinary collaborative process that will design prostheses and testing equipment for ISO validation of these prostheses.  One team will be selected to visit a POF affiliate for a site visit to understand local market conditions and manufacturing limitations.

In addition, marketing and business teams from the Harold Frank program will create inter-country marketing materials so prostheses developed in one country can be sold in another.  These materials will include paper-based traditional products, as well as websites directed toward target audiences as specified by POF.
",1011071,Invite Resubmit,11071-13,a2C39000002zYt4EAE,0017000001LSVs1AAH
Field Testing and Refinement of a Novel Vaccine Transportation and Management System,42782,Field Testing and Refinement of a Novel Vaccine Transportation and Management System,Yale University,NA,11/6/13,11/8/13,NA,NA,Sustainable Vision,"Yale MENG491  Appropriate Technology for the Developing World, is a human centered desig(HCD) course composed of an interdisciplinary team of graduate and undergraduate Yale students whose mission is to evaluate needs and develop appropriate technological solutions to positively affect the lives of users in the developing world. The proceeds of this grant will allow student designed prototypes and deployment plans for a novel vaccine transportation and management system to be field tested in Sub-Saharan Africa. These funds will allow for the translation of classroom ideas into real world solutions.",1011125,Invite Resubmit,11125-13,a2C39000002zYt4EAE,0017000001LSWzTAAX
Innovate 4 Poverty Alleviation,31000,Innovate 4 Poverty Alleviation,Rochester Institute of Technology,NA,11/7/13,11/11/13,NA,NA,Sustainable Vision,"Innovate 4 Poverty Alleviation will be a new, extracurricular program administered by RITs Center for Urban Entrepreneurship, under the leadership of the Saunders College of Business (SCB).  Innovate 4 Poverty Alleviation will consist of 4 E-Teams comprised of 4 students who work to develop 4 separate innovations/inventions that address each of 4 primary poverty factors  education, income, employment, and mindset.

Each E-team will be comprised of four members. The members include two RIT students (one from the Saunders College of Business and one from outside the Saunders College of Business) and two high school students from the Rochester City School District (highest poverty rate of all NYS Big 5 districts). E-Teams will be supervised and mentored by a Saunders College of Business faculty member. Each E-team will also have an industry expert with experience bringing a technology-based invention to market. 

Each E-Team will spend 8 hours a week over a total of 4 weeks developing a specific invention/innovation that focuses squarely on one of the 4 primary factors of poverty  education, income, employment, and mindset.  The resulting inventions/innovations will be judged by a panel of industry experts. The winning invention/innovation will be provided additional funding to move the invention/innovation to the next prototype stage.
",1011179,Invite Resubmit,11179-13,a2C39000002zYt4EAE,0017000001LSVoRAAX
Technologies Assisting Under-served Heroes in Detroit,32112,Technologies Assisting Under-served Heroes in Detroit,University of Detroit Mercy,NA,11/13/13,11/13/13,NA,NA,Sustainable Vision,"Detroit, Michigan is the only major Metropolitan city in the United States to have declared bankruptcy. Poverty is prevalent in Detroit yet many of our US veterans and heroes with physical disabilities reside here. Our University sits in the heart of our struggling city and because we are a private Jesuit University, funding is scarce. Additionally, the mission of UDM is to serve the underprivileged while training university students. We are requesting NCIIA support to assist in the funding of our educational course where student-lead teams of engineering and nursing students create, build and commercialize unique technologies to benefit under-served physically disabled people living in Detroit. Most of our clients with physical disabilities are living at or below the poverty level. In Detroit, we do not have to travel to developing countries to assist poverty stricken people. Our city is in desperate need of our help. The four main objectives of our proposal are: &#149; Serve community and increase social awareness by assisting under-served persons with physical disabilities. &#149; Maintain & foster institutional partnerships with community organizations caring for persons with physical disabilities. &#149; Teach students multidisciplinary collaboration and entrepreneurship skills. &#149; Capitalize on the creativity of students to facilitate student-lead business alternatives that will take ideas from concepts to marketable products.",1011208,Invite Resubmit,11208-13,a2C39000002zYt4EAE,0017000001LSW9iAAH
TEST-Pop Culture Program,10000,TEST-Pop Culture Program,University of Michigan-Ann Arbor,NA,9/6/13,9/6/13,NA,NA,Sustainable Vision,We propose bringing programs of pop culture courses and workshops to all areas of the earth.,1010904,Not Accepted,10904-13,a2C39000002zYt4EAE,0017000001LSVpTAAX
"""Social Problem-based Entrepreneurship"" Class",40500,"""Social Problem-based Entrepreneurship"" Class",New York University,NA,10/9/13,11/1/13,NA,NA,Sustainable Vision,"The class Social Problem-based Entrepreneurship at the NYU Leonard N. Stern School of Business was designed to put the idea of teaching social entrepreneurship to its ultimate testwith the objective of incubating a series of innovation-driven social ventures that tackle problems in domains such as health care, agriculture, water, education and energy.  The class was launched in 2011 and has already helped incubate a number of on-going social ventures in nutrition, education, sustainable textiles and sanitation.  In fact, the winners of both the 2012 and 2013 NYU Stern Social Venture Competition were incubated in this class.

Before the semester begins, start-up teams of three to four students each are formed.  Each team consists of students with diverse backgrounds, and the 2014 class will be the most diverse so far, with students from the business, public administration, medical, engineering and film schools. As a result, the teams are able to work through problems from a creative, technical, policy as well as business point of view more effectively than if they were all from the same background.  The class spends three weeks in India in January, before the semester begins, doing field work on the social problem of their interest.

Our hope is that with this grant, student teams will be able to access a small, but meaningful amount of start-up capital primarily for materials and supplies in order to built prototypes of the solutions they are proposing.
",1011012,Not Accepted,11012-13,a2C39000002zYt4EAE,0017000001LSW0JAAX
3D Computer Graphics Rwanda to Silicon Valley,49520,3D Computer Graphics Rwanda to Silicon Valley,Cogswell Polytechnical College,NA,10/17/13,11/12/13,NA,NA,Sustainable Vision,"Cogswell Polytechnical College is embarking on a series of collaborative distance learning projects that embrace symmetrical video services.  Students will participate in class, demonstrate their work and showcase their accomplishments using cloud-based video conferencing services.  The projects will enable remote classrooms to share class time synchronously and for students to access archived sessions as needed.  The series is based on the methods developed by NASA Ames researcher Kenji Kato and the ADMA (Africa Digital Media Academy) in Rwanda.  Initial offerings will be abbreviated 6-10 week courses on Introduction to 3D Computer Graphics, HTML5 programming, and the Kauffman FASTRAC New Venture entrepreneurship program.  This series of courses is designed to introduce students to the tools of a trade (3D design), the knowledge  to present it in a global economy (HTML5), and the resources to build their own business (Entrepreneurship).

By piloting the program with students in Rwanda, Cogswell will investigate a ""make""-oriented process online.  Students will create a portfolio of work for assessment and will demonstrate their projects upon course completion.  Grant funds will be used to coordinate and monitor class locations with trained faculty.  We will develop assessment methods that enable us to integrate remote students into mainstream courses and to test for rigor and learning outcomes.  Ultimately, the entrepreneurial outcomes from the courses will be tracked and provide a blueprint for growing the program with other student populations in other regions.",1011025,Not Accepted,11025-13,a2C39000002zYt4EAE,NA
Frugal Innovation,50000,Frugal Innovation,Suffolk University,NA,10/23/13,11/8/13,NA,NA,Sustainable Vision,"The objective of our Frugal Innovation proposal is to develop products and technologies that will help the over four billion people living at the bottom of the pyramid, and earning less than $2 a day, to improve and upgrade their lives.

We aim to focus on improving the well-being, appearance and overall attitude and outlook for these people so that they can enrich their lives at a nominal cost.  This applies particularly to women. Looking good is particularly important for women because their appearance can improve their family situation, domestic life, self-esteem and overall quality of life.

The project that we are proposing is to introduce low cost cosmetics made from recycled ingredients and packaging to this segment of the market. Our aim will be to collect unused or partially used cosmetics and rework them into low cost health/beauty and cosmetic products for women at the bottom of the pyramid using the concept of frugal innovation.
",1011046,Not Accepted,11046-13,a2C39000002zYt4EAE,0017000001LSVsMAAX
Planning Grant: Biomaterials for the Developing World,10000,Planning Grant: Biomaterials for the Developing World,Duke University,NA,10/24/13,11/8/13,NA,NA,Sustainable Vision,"At Makerere University (MU) I will teach a course similar to the one that I have for 20 years at Duke, except I will focus the course content on the needs of East Africa. In addition to covering basic biomaterials science and engineering in a readings-lecture-exam format, I will divide the class into teams of MU students that will be charged with (1) identifying a critical human health need in Uganda that can be treated with a biomaterial implant and/or biomedical device, (2) studying the unique design, fabrication, packaging, and implementation constraints of the biomaterial and/or biomedical device, (3) devising a feasible manufacturing and deployment strategy, and (4) proposing a workable business plan.  MU design teams that propose the most promising projects will be invited to enroll in the proposed design course entitled Biomaterials and Biomedical Devices for the Developing World to be taught during the of spring 2015 simultaneously at Duke at MU.  Each design team will be comprised of Duke and MU BME students that will use Internet-based communication technology to further develop their project within the NCIIA E-Team format.",1011050,Not Accepted,11050-13,a2C39000002zYt4EAE,0017000001LSVnxAAH
Simple Limb Initiative,50000,Simple Limb Initiative,San Jose State University,NA,10/29/13,11/7/13,NA,NA,Sustainable Vision,"This proposal is for an expanded undergraduate course that will engage multidisciplinary teams of students in learning and solving problems addressing the social, emotional, and physical need for affordable prosthesis in countries throughout the world. End users of the designed products will include children and adults who have been the victims of war (land mines), violence, disaster (earthquake, flood, etc.), or disease (diabetes). This is a growing need, with an estimated global amputee population that is between .05-.08 percent of the world population (350-560M) (WHO), and increasing. Additionally, the number of trained technicians for building and fitting the few prosthesis models available is insufficient and is estimated to take up to 50 years to train the number of technicians needed even for today. Students will learn how to understand a culture and its capabilities, design and develop affordable prosthesis (arm and leg) for children and adults, and place the prosthesis products into the market for feedback and testing loops. The product and delivery solutions must: be fabricated and assembled by an unskilled person; be produced for less than $30USD; be placed in an Open Source online market; source and use local materials to the region; use digital 3D manufacturing technologies to enhance design functionality of critical parts of the prosthesis; use new materials being developed for 3D rapid prototyping; and collaborate with internal and external partners in order to engage in a product development feedback loop.",1011062,Not Accepted,11062-13,a2C39000002zYt4EAE,0017000001LSVznAAH
Promoting Prototype and Manufacturing Opportunities for Young Technical Entrepreneurs in West Virginia,41571,Promoting Prototype and Manufacturing Opportunities for Young Technical Entrepreneurs in West Virginia,West Virginia University,NA,10/31/13,11/19/13,NA,NA,Sustainable Vision,"The Division of Resource Management at the Davis College of Agriculture, Natural Resources & Design at West Virginia University is currently in the process of maturing a new curriculum, a bachelors degree in Energy and Environmental Management. This program known as E*Quad, with the four major components of the curriculum being energy, the environment, economics and, most importantly, for the purposes of this document, entrepreneurship, will be offered university-wide. One of the important areas of focus of the program was initially funded with a generous grant of $188,000.00 from the Benedum Foundation. This area, a start-up competition known as the West Virginia Technology Entrepreneurship Challenge (WV-TEC) focuses on STEM technology and creating innovations that can provide employment and reduce poverty in the Appalachian Region. In the process of administering the first start-up challenge, two gaps in students services were identified: the lack of intellectual property protection services for student innovators and a lack of funding for building prototypes. In response to the first gap, the undersigned in cooperation with the WVU Law School and the Statler College of Engineering and Mineral Resources submitted and received a second grant intended to establish an intellectual property clinic at the WVU Law School Entrepreneurship Clinic. It is the second gap that this grant request is intended to address  the lack of funding for securing manufacturing and prototyping services and solidifying a program that can support itself and innovations that serve the Appalachian region to alleviating poverty.",1011084,Not Accepted,11084-13,a2C39000002zYt4EAE,0017000001LSVrlAAH
