Team: Team Name,Team: ID
Safe Agua Colombia Development Seminar,a2639000006H42A
"""Social Problem-based Entrepreneurship"" Class",a263n000006H43V
3D Computer Graphics Rwanda to Silicon Valley,a263n000006H43W
"An Affordable ""Hybrid"" Ultrasound-Optical Imaging Device for Non-invasive Early",a263n000006H43c
Applied Innovation for Global Development Course,a263n000006H43N
Developing Undergraduate-Originated Global Health Technology,a263n000006H43O
Developing World Low Cost Prostheses,a263n000006H43R
Development of a Low-cost Multi-axis Prosthetic Ankle for Underdeveloped Countri,a263n000006H43m
Empowering Distributed Global E-Teams(EDGE),a263n000006H43g
Entrepreneurial Scholar of Distinction Program,a263n000006H43n
Expanding the Educational Outcomes of EWB Humanitarian Projects with Innovative,a263n000006H43P
Field Testing and Refinement of a Novel Vaccine Transportation and Management Sy,a263n000006H43S
Frugal Innovation,a263n000006H43X
Graduate-Student-Mentored Multidisciplinary Teams for Humanitarian Engineering C,a263n000006H43e
Information Capital to Support Natural Resource Entrepreneurs,a263n000006H43p
Innovate 4 Poverty Alleviation,a263n000006H43T
Innovation for Learning: Educational Solutions for South Sudan,a263n000006H43d
Innovation in Lighting for Developing Countries,a263n000006H43h
NCIIA Sustainable Vision Proposal for a Campus-Wide Minor and Core Courses in De,a263n000006H43i
Planning Grant: Biomaterials for the Developing World,a263n000006H43Y
Promoting Prototype and Manufacturing Opportunities for Young Technical Entrepre,a263n000006H43a
Renewable Energy & Livelihood Development for Emerging Markets,a263n000006H43Q
Simple Limb Initiative,a263n000006H43Z
Starved for Technology,a263n000006H43q
Summer Grand Challenge Program,a263n000006H43l
SuPERB A Certificate Program for Sustainable Entrepreneurship  Education,a263n000006H43o
Sustainable Transport for Vietnam enabled through UTK-RMIT Educational Partnersh,a263n000006H43b
Technologies Assisting Under-served Heroes in Detroit,a263n000006H43U
Technologies tailored to drinking water needs in rural Rajasthan villages,a263n000006H43f
Transforming Computer Science Courses for Entrepreneurship-Based Service Learnin,a263n000006H43j
Ugandan Students Exploring Agri-business Entrepreneurship,a263n000006H43k